,is_ambig,is_correct,is_human,is_context_true_first,percent_certainty_of_correct
167,False,False,False,True,0.47657965106367595
168,False,True,True,False,0.5698526514141571
169,False,True,False,False,0.5813030906443133
170,False,True,True,False,0.5078118642792044
171,False,True,True,True,0.5506073655352404
172,False,True,False,False,0.5544704649604273
173,False,False,True,False,0.399811640739795
174,False,True,False,True,0.5078118642792044
175,False,True,True,False,0.5
176,False,True,True,True,0.5350984286266115
177,False,True,True,True,0.5926665999540698
178,False,False,False,False,0.4921881357207955
179,False,False,True,False,0.40356685373537454
180,False,False,False,False,0.4960938294709195
181,False,False,False,True,0.4493926344647597
182,False,False,True,False,0.42250463481418826
183,False,True,True,True,0.5039061705290805
184,False,False,True,False,0.411110869232168
185,False,False,True,False,0.40356685373537454
186,False,True,True,True,0.5389832206876841
187,False,True,False,True,0.5389832206876841
188,False,False,True,True,0.47268347662043286
189,False,False,False,True,0.48047867804790706
190,False,False,False,True,0.48828339529583464
191,False,False,True,False,0.3960681662740417
192,False,False,False,True,0.5
193,False,False,True,False,0.4416730056646256
194,False,True,True,True,0.5428632831725052
195,False,False,True,False,0.40356685373537454
196,False,True,True,True,0.5813030906443133
197,False,True,True,True,0.6406358411176238
198,False,True,False,False,0.6334102636778401
199,False,False,True,False,0.3960681662740417
200,False,False,False,True,0.46101677931231594
201,False,True,True,True,0.6187804337438501
202,False,True,False,False,0.519521321952093
203,False,True,True,False,0.5156199157230156
204,False,False,True,False,0.4225046348141882
205,False,True,False,False,0.5660185351961015
206,False,True,True,True,0.5467381519846138
207,False,True,False,False,0.5467381519846138
208,False,False,True,False,0.4301473485858429
209,False,False,True,False,0.4960938294709195
210,False,True,False,False,0.5964331462646254
211,False,True,False,False,0.5926665999540698
212,False,True,True,False,0.5273165233795671
213,False,True,False,False,0.6039318337259584
214,False,True,True,True,0.5156199157230156
215,False,True,False,False,0.519521321952093
216,False,True,True,True,0.5156199157230157
217,False,True,True,True,0.5273165233795671
218,False,True,True,True,0.5428632831725052
219,False,True,False,False,0.5851011542032312
220,False,True,False,False,0.523420348936324
221,False,True,True,True,0.5078118642792044
222,False,False,False,True,0.4186969093556867
223,False,True,False,False,0.5544704649604273
224,False,True,True,True,0.5660185351961015
225,False,False,False,True,0.44552953503957277
226,False,False,True,False,0.38861802670584894
227,False,True,True,False,0.5078118642792044
228,False,True,True,True,0.5428632831725052
229,False,True,True,True,0.5312093733737563
230,False,False,False,True,0.4571367168274948
231,False,True,True,False,0.5117166047041654
232,False,False,True,True,0.49218813572079556
233,False,True,True,True,0.5156199157230157
234,False,True,True,True,0.5813030906443134
235,False,True,True,False,0.5544704649604273
236,False,False,False,True,0.44939263446475963
237,False,False,True,False,0.48438008427698437
238,False,True,False,False,0.5698526514141571
239,False,False,False,True,0.5
240,False,True,True,True,0.5506073655352404
241,False,False,True,True,0.4960938294709195
242,False,True,False,False,0.5273165233795671
243,False,False,False,True,0.4263215925474903
244,False,False,False,True,0.46879062662624377
245,False,False,False,True,0.47268347662043286
246,False,False,True,False,0.4687906266262437
247,False,False,False,True,0.5
248,False,False,True,True,0.43782349911420193
249,False,False,False,True,0.4649015713733885
250,False,True,True,True,0.5389832206876841
251,False,True,True,False,0.5039061705290805
252,False,False,False,True,0.45713671682749474
253,False,True,False,False,0.5736784074525096
254,False,True,True,True,0.5621765008857981
255,False,True,False,False,0.588889130767832
